id,name,size,files,specs,agents,reasoning,connections,domain,matched_dimensoes,top_classes,top_funcs
C0,Integração Nexus: ReasoningCategory,106,"nexus_integration_full.py, micro_reasoning_types.py, micro_sync_barriers.py",-,-,-,"C1, C2, C4, C5, C8",Integração Nexus,"Alto Dados (Expansão de Cobertura), Alto Raciocínio (Especificidades), Dados Específicos","ReasoningCategory, Enum, ReasoningType",".__init__(), .to_dict(), .create_barrier()"
C1,Raciocínio e Lógica: AutonomyLevel,95,"aletheia_engine.py, test_aletheia.py",-,-,"R1, R2, R3, R4, R5","C0, C123",Raciocínio e Lógica,"Alto Raciocínio (Especificidades), Metodologia Específica (keyword_map compatibility), Métodos de Investigação","AutonomyLevel, Phase, MathProblem",".__init__(), .generate(), ._select_reasoning_types()"
C2,Conhecimento e Grafos: RelationType,92,"knowledge_graphs.py, test_ecosystem_full.py, manus_evolve_bridge.py",-,-,"R54, R55, R56","C0, C4, C5, C8, C19",Conhecimento e Grafos,"Alto Dados (Expansão de Cobertura), Dados Específicos, Metodologia Específica (keyword_map compatibility)","RelationType, EntityType, Entity",".__init__(), .to_dict(), .add_entity()"
C3,Ecossistema e Scanners: Any,85,ecosystem_capabilities_server.py,-,-,"R38, R60, R61, R62","C9, C10, C14, C18, C28",Ecossistema e Scanners,"Alto Dados (Expansão de Cobertura), Alto Raciocínio (Especificidades), Dados Específicos","Any, Retorna os resultados do último experimento cognitivo integrado concluído no ASD, Executa o Epistemic Topology Mapper (SPEC-054) para projetar espaço de conhecime",.handle_tool_call()
C4,Algoritmos Sociais: OutcomeRecord,70,"evolution_loop.py, social_algorithms.py, test_social_algorithms.py",-,-,-,"C0, C2, C5, C8, C18",Algoritmos Sociais,"Metodologia Específica (keyword_map compatibility), Teorias Específicas (keyword_map compatibility)","OutcomeRecord, LearningRecord, EvolutionCycle",".__init__(), .run(), ._load_state()"
C5,Sincronização e Orquestração: SyncComponent,69,"sync_orchestrator.py, test_ecosystem_full.py, test_nexus_di.py",-,-,"R54, R56","C0, C2, C4, C8, C19",Sincronização e Orquestração,"Alto Dados (Expansão de Cobertura), Dados Específicos, Metodologia Específica (keyword_map compatibility)","SyncComponent, ComponentDiscovery, DynamicScoringEngine",".__init__(), .discover_agents(), .discover_skills()"
C6,Economia de Tokens: InsufficientBalanceError,65,test_spec022_token_economy.py,-,-,"R48, R49, R50, R51","C15, C47",Economia de Tokens,"Alto Dados (Expansão de Cobertura), Dados Específicos, Metodologia Específica (keyword_map compatibility)","InsufficientBalanceError, UnauthorizedMintError, TokenTransaction",".__init__(), ._next_tx_id(), ._init_wallet()"
C7,Domain Shift e Auditoria: Documento,65,"test_domain_shift_camada1b.py, domain_shift_audit.py",-,-,"R44, R45, R46",C123,Domain Shift e Auditoria,"Metodologia Específica (keyword_map compatibility), Perspectiva Temporal, População e Contexto","Documento, PadraoInstituicao, JaccardPair",".test_trf6_detectada_como_apenas_t2(), .test_delta_temporal_apenas_para_instituicoes_em_ambos(), .test_distribuicao_nula_tem_minimo_2_pares()"
C8,Docling e PDF: OutcomeRecord,64,"nexus_evolution_loop.py, docling_adapter.py, test_ecosystem_full.py",-,-,-,"C0, C2, C4, C5, C19",Docling e PDF,"Metodologia Específica (keyword_map compatibility), Teorias Específicas (keyword_map compatibility)","OutcomeRecord, LearningRecord, EvolutionCycle",".__init__(), ._load_state(), ._save_state()"
C9,Trust e Witness Pattern: WitnessValidator,59,"witness_pattern.py, test_witness.py, asde_engine.py",-,-,"R31, R32","C0, C3, C14, C28, C54",Trust e Witness Pattern,"Dados Específicos, Metodologia Específica (keyword_map compatibility), Métodos de Investigação","WitnessValidator, Validacao Witness (R28) das acoes do pipeline, SignalSeverity",".__init__(), .to_dict(), .add_risk_rule()"
